pert_id,drug_name,smiles,canonical_smiles,scaffold,dili_binary,dili_severity,in_lincs,in_pdg
43,dactinomycin,[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,O=C1CNC(=O)C2CCCN2C(=O)CNC(=O)C(NC(=O)c2cc(=O)cc3oc4cccc(C(=O)NC5COC(=O)CNC(=O)CNC(=O)C6CCCN6C(=O)CNC5=O)c4nc2-3)COC(=O)CN1,1,vMost-DILI-concern,False,True
44,dantrolene,[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,O=C1CN(N=Cc2ccc(-c3ccccc3)o2)C(=O)N1,1,vMost-DILI-concern,True,True
45,demeclocycline,[H][C@]12C[C@@]3([H])[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C(=O)C1=C([C@H]2O)C(Cl)=CC=C1O,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,O=C1C2=CC3C(=O)C=CCC3CC2Cc2ccccc21,0,Ambiguous-DILI-concern,False,True
46,propoxyphene,CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,c1ccc(CCc2ccccc2)cc1,1,vLess-DILI-concern,False,False
47,diclofenac,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,c1ccc(Nc2ccccc2)cc1,1,vMost-DILI-concern,True,True
48,diflunisal,OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,c1ccc(-c2ccccc2)cc1,1,vMost-DILI-concern,True,True
49,diphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,CN(C)CCOC(c1ccccc1)c1ccccc1,c1ccc(Cc2ccccc2)cc1,0,vNo-DILI-concern,False,True
50,epirubicin,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,0,Ambiguous-DILI-concern,True,True
51,erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,O=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1,1,vMost-DILI-concern,True,True
52,etoposide,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,O=C1OCC2C(OC3CCC4OCOCC4O3)c3cc4c(cc3C(c3ccccc3)C12)OCO4,1,vLess-DILI-concern,True,True
53,famotidine,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,c1cscn1,1,vLess-DILI-concern,True,True
54,felbamate,NC(=O)OCC(COC(N)=O)C1=CC=CC=C1,NC(=O)OCC(COC(N)=O)c1ccccc1,c1ccccc1,1,vMost-DILI-concern,True,True
55,fenofibrate,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,O=C(c1ccccc1)c1ccccc1,1,vLess-DILI-concern,False,True
56,fenoprofen,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,c1ccc(Oc2ccccc2)cc1,1,vMost-DILI-concern,False,True
57,flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,c1ccccc1,1,vMost-DILI-concern,True,True
58,hydroxyurea,NC(=O)NO,NC(=O)NO,,1,vMost-DILI-concern,True,True
59,imatinib,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(CN2CCNCC2)cc1,1,vMost-DILI-concern,True,True
60,imipramine,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,CN(C)CCCN1c2ccccc2CCc2ccccc21,c1ccc2c(c1)CCc1ccccc1N2,1,vLess-DILI-concern,True,True
61,iproniazid,CC(C)NNC(=O)C1=CC=NC=C1,CC(C)NNC(=O)c1ccncc1,c1ccncc1,1,vMost-DILI-concern,False,True
62,ketoconazole,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,c1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CCNCC4)cc3)O2)cc1,1,vMost-DILI-concern,True,True
63,labetalol,CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,c1ccc(CCCNCCc2ccccc2)cc1,1,vMost-DILI-concern,True,True
64,leflunomide,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,O=C(Nc1ccccc1)c1cnoc1,1,vMost-DILI-concern,True,True
65,mefenamic acid,CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1,Cc1cccc(Nc2ccccc2C(=O)O)c1C,c1ccc(Nc2ccccc2)cc1,1,vMost-DILI-concern,False,False
66,meloxicam,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,O=C(Nc1nccs1)C1=Cc2ccccc2S(=O)(=O)N1,1,vLess-DILI-concern,True,True
67,metformin,CN(C)C(=N)NC(N)=N,CN(C)C(=N)NC(=N)N,,1,vLess-DILI-concern,True,True
68,methyldopa,C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,c1ccccc1,1,vMost-DILI-concern,True,True
69,nefazodone,CCC1=NN(CCCN2CCN(CC2)C2=CC(Cl)=CC=C2)C(=O)N1CCOC1=CC=CC=C1,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,O=c1n(CCOc2ccccc2)cnn1CCCN1CCN(c2ccccc2)CC1,1,vMost-DILI-concern,True,True
70,nitrofurantoin,[O-][N+](=O)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,O=C1CN(N=Cc2ccco2)C(=O)N1,1,vMost-DILI-concern,False,True
71,olsalazine,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(O)C(=C1)C(O)=O,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,c1ccc(N=Nc2ccccc2)cc1,1,vLess-DILI-concern,False,True
72,paroxetine,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,c1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,1,vLess-DILI-concern,True,True
73,pentamidine,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,c1ccc(OCCCCCOc2ccccc2)cc1,1,vLess-DILI-concern,True,True
74,perhexiline,C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,1,vMost-DILI-concern,True,True
75,physostigmine,[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC)=C1)N2C,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,c1ccc2c(c1)NC1NCCC21,0,,True,True
76,pioglitazone,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,O=C1NC(=O)C(Cc2ccc(OCCc3ccccn3)cc2)S1,1,vLess-DILI-concern,True,True
77,propylthiouracil,CCCC1=CC(=O)NC(=S)N1,CCCc1cc(=O)[nH]c(=S)[nH]1,O=c1cc[nH]c(=S)[nH]1,1,vMost-DILI-concern,True,True
78,pseudoephedrine,CN[C@@H](C)[C@@H](O)C1=CC=CC=C1,CN[C@@H](C)[C@@H](O)c1ccccc1,c1ccccc1,0,vNo-DILI-concern,False,False
79,ranitidine,CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,c1ccoc1,1,vLess-DILI-concern,True,True
80,rifabutin,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(=O)C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1NC3(CCN(CC3)CC(C)C)N=C21,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,O=C1C=CC=CCCCCCCCCC=COC2Oc3ccc4c(c3C2=O)C2=NC3(CCNCC3)NC2=C(N1)C4=O,1,vLess-DILI-concern,True,True
81,rosiglitazone,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,O=C1NC(=O)C(Cc2ccc(OCCNc3ccccn3)cc2)S1,1,vLess-DILI-concern,True,True
82,indocyanine green,[Na+].CC1(C)\C(=C/C=C/C=C/C=C/C2=[N+](CCCCS([O-])(=O)=O)C3=CC=C4C=CC=CC4=C3C2(C)C)N(CCCCS([O-])(=O)=O)C2=CC=C3C=CC=CC3=C12,CC1(C)C(/C=C/C=C/C=C/C=C2/N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21.[Na+],C(=CC=CC1=[NH+]c2ccc3ccccc3c2C1)C=CC=C1Cc2c(ccc3ccccc23)N1,0,vNo-DILI-concern,False,False
83,simvastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,1,vLess-DILI-concern,True,True
84,spironolactone,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,O=C1C=C2CCC3C(CCC4C3CCC43CCC(=O)O3)C2CC1,1,vLess-DILI-concern,True,True
85,stavudine,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,O=c1ccn(C2C=CCO2)c(=O)[nH]1,1,vMost-DILI-concern,True,True
86,streptomycin,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,C1CCC(OC2OCCC2OC2CCCCO2)CC1,0,vNo-DILI-concern,False,True
87,sulfadiazine,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,O=S(=O)(Nc1ncccn1)c1ccccc1,1,vLess-DILI-concern,False,True
88,sulfasalazine,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,O=S(=O)(Nc1ccccn1)c1ccc(N=Nc2ccccc2)cc1,1,vMost-DILI-concern,True,True
89,sulindac,CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,C1=Cc2ccccc2C1=Cc1ccccc1,1,vMost-DILI-concern,False,True
90,tamoxifen,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,1,vMost-DILI-concern,True,True
